region,size,threads,computation_time,total_time
1,16,1,0.0000,0.0171
2,16,1,0.0003,0.0004
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,1,0.0000,0.0001
2,16,1,0.0003,0.0003
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,1,0.0000,0.0001
2,16,1,0.0003,0.0004
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,1,0.0000,0.0001
2,16,1,0.0003,0.0003
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,1,0.0001,0.0001
2,16,1,0.0003,0.0004
3,16,1,0.0003,0.0004
4,16,1,0.0003,0.0004
1,16,1,0.0000,0.0001
2,16,1,0.0003,0.0003
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,1,0.0000,0.0001
2,16,1,0.0003,0.0003
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,1,0.0000,0.0001
2,16,1,0.0003,0.0003
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,1,0.0000,0.0001
2,16,1,0.0003,0.0003
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,1,0.0000,0.0001
2,16,1,0.0003,0.0003
3,16,1,0.0003,0.0003
4,16,1,0.0003,0.0004
1,16,2,0.0001,0.0001
2,16,2,0.0002,0.0003
3,16,2,0.0002,0.0002
4,16,2,0.0002,0.0003
1,16,2,0.0001,0.0002
2,16,2,0.0002,0.0004
3,16,2,0.0002,0.0003
4,16,2,0.0002,0.0003
1,16,2,0.0001,0.0001
2,16,2,0.0002,0.0002
3,16,2,0.0002,0.0002
4,16,2,0.0002,0.0003
1,16,2,0.0001,0.0001
2,16,2,0.0002,0.0003
3,16,2,0.0002,0.0003
4,16,2,0.0002,0.0003
1,16,2,0.0001,0.0001
2,16,2,0.0002,0.0003
3,16,2,0.0002,0.0002
4,16,2,0.0002,0.0003
1,16,2,0.0001,0.0001
2,16,2,0.0002,0.0002
3,16,2,0.0002,0.0002
4,16,2,0.0002,0.0003
1,16,2,0.0001,0.0001
2,16,2,0.0002,0.0002
3,16,2,0.0002,0.0003
4,16,2,0.0002,0.0003
1,16,2,0.0001,0.0001
2,16,2,0.0002,0.0003
3,16,2,0.0002,0.0002
