size,procs,threads,computation_time
4096,1,1,19.6764
4096,1,1,19.5593
4096,1,1,19.6336
4096,1,1,19.5763
4096,1,1,19.4541
4096,1,1,19.5944
4096,1,1,19.6078
4096,1,1,19.5552
4096,1,1,19.6695
4096,1,1,19.6174
4096,1,1,20.1037
4096,1,1,19.5164
4096,1,1,19.5791
4096,1,1,19.5943
4096,1,1,19.9659
4096,8,1,4.4445
4096,8,1,4.3975
4096,8,1,4.3249
4096,8,1,4.4053
4096,8,1,4.2089
4096,8,1,4.1626
4096,8,1,4.2866
4096,8,1,4.3284
4096,8,1,4.3753
4096,8,1,4.1166
4096,8,1,4.3795
4096,8,1,4.2817
4096,8,1,4.1825
4096,8,1,4.2735
4096,8,1,4.4986
4096,16,1,4.6945
4096,16,1,4.8259
4096,16,1,4.5712
4096,16,1,4.9241
4096,16,1,4.6780
4096,16,1,5.1102
4096,16,1,5.0987
4096,16,1,4.9707
4096,16,1,4.9323
4096,16,1,4.8090
4096,16,1,4.7790
4096,16,1,4.6084
4096,16,1,5.0166
4096,16,1,5.2058
4096,16,1,4.9711
4096,32,1,6.2170
4096,32,1,6.3111
4096,32,1,5.8176
4096,32,1,6.2794
4096,32,1,6.0186
4096,32,1,6.0453
4096,32,1,6.3596
4096,32,1,6.2939
4096,32,1,6.2169
4096,32,1,6.1046
4096,32,1,6.0505
4096,32,1,6.4685
4096,32,1,6.0764
4096,32,1,6.2207
4096,32,1,5.9472
4096,64,1,8.4794
4096,64,1,9.2349
4096,64,1,9.2112
4096,64,1,8.5881
4096,64,1,8.6070
4096,64,1,9.0371
4096,64,1,8.6020
4096,64,1,8.5962
4096,64,1,9.0112
4096,64,1,9.3010
4096,64,1,8.0663
4096,64,1,8.8009
4096,64,1,8.6537
4096,64,1,8.6482
4096,64,1,8.4964
