size,procs,threads,computation_time
4096,2,1,11.3306
4096,2,1,11.2775
4096,2,1,11.2746
4096,2,1,11.2687
4096,2,1,11.2765
4096,2,1,11.2987
4096,2,1,11.2817
4096,2,1,11.2738
4096,2,1,11.2693
4096,2,1,11.3038
4096,2,1,11.2742
4096,2,1,11.2778
4096,2,1,11.2774
4096,2,1,11.2742
4096,2,1,11.2712
4096,2,2,6.6446
4096,2,2,6.7826
4096,2,2,6.6491
4096,2,2,6.6446
4096,2,2,6.6563
4096,2,2,6.5740
4096,2,2,6.6626
4096,2,2,7.0533
4096,2,2,6.6451
4096,2,2,6.7123
4096,2,2,6.6494
4096,2,2,6.6564
4096,2,2,6.6787
4096,2,2,6.6663
4096,2,2,6.6564
4096,2,4,4.0765
4096,2,4,4.0776
4096,2,4,3.9797
4096,2,4,4.0173
4096,2,4,4.0024
4096,2,4,4.0812
4096,2,4,4.0955
4096,2,4,4.2349
4096,2,4,4.1141
4096,2,4,3.9993
4096,2,4,4.0171
4096,2,4,4.1088
4096,2,4,4.0986
4096,2,4,4.0076
4096,2,4,4.0154
4096,2,8,3.7163
4096,2,8,3.8260
4096,2,8,3.8045
4096,2,8,3.7641
4096,2,8,3.8021
4096,2,8,3.8440
4096,2,8,3.7841
4096,2,8,4.0031
4096,2,8,4.0874
4096,2,8,4.2917
4096,2,8,3.8365
4096,2,8,3.7433
4096,2,8,3.7768
4096,2,8,3.7168
4096,2,8,3.7741
4096,2,16,3.6353
4096,2,16,3.5775
4096,2,16,3.6214
4096,2,16,3.6217
4096,2,16,3.5897
4096,2,16,3.6236
4096,2,16,3.5791
4096,2,16,3.6045
4096,2,16,3.6108
4096,2,16,3.5958
4096,2,16,3.6467
4096,2,16,3.5916
4096,2,16,3.6143
4096,2,16,3.6200
4096,2,16,3.6092
4096,2,32,3.5855
4096,2,32,3.5607
4096,2,32,3.5898
4096,2,32,3.5527
4096,2,32,3.5411
4096,2,32,3.5342
4096,2,32,3.5635
4096,2,32,3.5880
4096,2,32,3.5443
4096,2,32,3.5751
4096,2,32,3.5512
4096,2,32,3.5547
4096,2,32,3.5543
4096,2,32,3.5753
4096,2,32,3.5488
4096,4,1,6.3424
4096,4,1,6.9293
4096,4,1,6.3853
4096,4,1,7.0276
4096,4,1,6.4768
4096,4,1,6.1881
4096,4,1,6.1128
4096,4,1,6.3317
4096,4,1,6.0371
4096,4,1,6.3934
4096,4,1,6.6582
4096,4,1,6.4759
4096,4,1,7.1384
4096,4,1,6.1048
4096,4,1,6.1402
4096,4,2,4.0266
4096,4,2,4.1609
4096,4,2,4.2375
4096,4,2,3.9853
4096,4,2,4.2308
4096,4,2,4.0915
4096,4,2,4.1165
4096,4,2,4.0774
4096,4,2,4.0609
4096,4,2,4.2545
4096,4,2,4.1266
4096,4,2,4.2415
4096,4,2,4.4248
4096,4,2,3.9710
4096,4,2,4.1727
4096,4,4,3.7797
4096,4,4,3.7767
4096,4,4,3.6893
4096,4,4,3.7275
4096,4,4,3.7492
4096,4,4,3.7227
4096,4,4,3.7697
4096,4,4,3.8751
4096,4,4,3.7547
4096,4,4,3.9944
4096,4,4,3.7494
4096,4,4,4.0020
4096,4,4,3.9638
4096,4,4,3.9966
4096,4,4,3.8058
4096,4,8,3.5701
4096,4,8,3.6649
4096,4,8,3.6265
4096,4,8,3.6651
4096,4,8,3.8812
4096,4,8,3.8782
4096,4,8,3.6397
4096,4,8,3.9357
4096,4,8,3.8406
4096,4,8,4.0967
4096,4,8,3.5996
4096,4,8,3.8636
4096,4,8,3.6025
4096,4,8,3.8813
4096,4,8,3.6189
4096,4,16,3.4903
4096,4,16,3.5302
4096,4,16,3.7922
4096,4,16,3.5349
4096,4,16,3.5536
4096,4,16,3.5221
4096,4,16,3.5372
4096,4,16,3.5256
4096,4,16,3.5287
4096,4,16,3.5372
4096,4,16,3.7060
