region,size,io_time,memory_time,computation_time,total_time
1,16,0.0003,0.0001,0.0002,0.0006
2,16,0.0038,0.0002,0.0011,0.0051
3,16,0.0002,0.0001,0.0009,0.0013
4,16,0.0002,0.0001,0.0010,0.0013
1,16,0.0002,0.0001,0.0001,0.0005
2,16,0.0002,0.0001,0.0009,0.0012
3,16,0.0002,0.0001,0.0008,0.0012
4,16,0.0002,0.0001,0.0009,0.0011
1,16,0.0002,0.0001,0.0001,0.0004
2,16,0.0002,0.0001,0.0006,0.0009
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0000,0.0002
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0005
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0001,0.0002
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0005
1,16,0.0001,0.0000,0.0000,0.0001
2,16,0.0001,0.0000,0.0003,0.0004
3,16,0.0001,0.0000,0.0003,0.0004
4,16,0.0001,0.0000,0.0003,0.0004
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0012,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0010,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0012
3,32,0.0001,0.0001,0.0010,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0013
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0012,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0012
3,32,0.0001,0.0001,0.0011,0.0012
4,32,0.0001,0.0001,0.0013,0.0014
1,32,0.0001,0.0001,0.0002,0.0003
2,32,0.0001,0.0001,0.0011,0.0012
3,32,0.0001,0.0001,0.0011,0.0012
