size, best_avg, avg_avg, worst_avg
 100000,10895.62,10292.81,3457.64
 200000,12307.69,8330.91,3208.93
 300000,13206.55,10570.78,6742.18
 400000,13919.34,12518.19,7496.67
 500000,14405.28,13589.97,8382.93
 600000,14722.66,13538.74,8768.60
 700000,14947.36,13932.87,5582.92
 800000,15094.48,13516.21,8341.59
 900000,13563.61,13214.57,10528.66
1000000,13648.99,13133.08,9675.53
 100000,9352.15,8903.47,3563.37
 200000,10775.60,9869.22,6396.50
 300000,11351.80,10476.34,6860.44
 400000,11842.03,11008.20,7391.16
 500000,12088.26,11281.71,8356.82
 600000,12286.67,11258.79,8659.03
 700000,12350.63,11380.26,7928.78
 800000,12034.55,10133.44,7589.10
 900000,12056.51,9938.55,5970.51
1000000,12964.26,10639.87,7214.78
 100000,8948.68,7913.59,2615.14
 200000,10180.65,9008.19,6803.00
 300000,10768.17,9104.76,5386.59
 400000,11238.91,9856.70,7462.65
 500000,11340.62,9589.79,5234.18
 600000,11497.84,10037.26,7072.32
 700000,11459.02,9476.47,5528.12
 800000,10724.40,8445.62,3061.64
 900000,11040.69,8508.41,2985.00
1000000,12240.34,9563.94,5147.37
 100000,8904.10,7726.64,1833.69
 200000,9994.14,8283.09,2916.28
 300000,10643.21,8957.23,3904.45
 400000,10722.70,8746.93,4061.38
 500000,10649.32,9245.50,6371.18
 600000,10450.24,8813.48,5225.20
 700000,10647.85,8257.55,3106.94
 800000,10192.35,7681.61,2661.38
 900000,11955.40,7903.72,1902.37
1000000,11716.32,9318.32,4665.96
